row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
73	8650	8.314 sec	TLP	Upstream	0x11	1
74	8653	8.314 sec	TLP	Downstream	0xA	1
75	8655	8.314 sec	TLP	Upstream	0x11	1
76	8658	8.314 sec	TLP	Downstream	0xA	1
77	8660	8.314 sec	TLP	Upstream	0x11	1
78	8665	8.314 sec	TLP	Downstream	0xA	1
79	8667	8.314 sec	TLP	Upstream	0x11	1
80	8671	8.314 sec	TLP	Downstream	0xA	1
81	8673	8.314 sec	TLP	Upstream	0x11	1
82	8676	8.314 sec	TLP	Downstream	0x9	1
83	8678	8.314 sec	TLP	Upstream	0x12	1
84	8681	8.314 sec	TLP	Downstream	0x9	1
85	8683	8.314 sec	TLP	Upstream	0x12	1
86	8686	8.314 sec	TLP	Downstream	0xA	1
87	8688	8.314 sec	TLP	Upstream	0x11	1
88	8691	8.314 sec	TLP	Downstream	0xA	1
89	8693	8.314 sec	TLP	Upstream	0x11	1
90	8696	8.314 sec	TLP	Downstream	0xA	1
91	8698	8.314 sec	TLP	Upstream	0x11	1
92	8702	8.314 sec	TLP	Downstream	0x9	1
93	8704	8.314 sec	TLP	Upstream	0x12	1
94	8709	8.314 sec	TLP	Downstream	0xA	1
95	8711	8.314 sec	TLP	Upstream	0x11	1
96	8714	8.314 sec	TLP	Downstream	0xA	1
97	8716	8.314 sec	TLP	Upstream	0x11	1
98	8719	8.314 sec	TLP	Downstream	0x9	1
99	8721	8.314 sec	TLP	Upstream	0x12	1
100	8725	8.314 sec	TLP	Downstream	0xA	1
101	8727	8.314 sec	TLP	Upstream	0x11	1
102	8730	8.314 sec	TLP	Downstream	0x9	1
103	8732	8.314 sec	TLP	Upstream	0x12	1
104	8737	8.314 sec	TLP	Downstream	0xA	1
105	8739	8.314 sec	TLP	Upstream	0x11	1
106	8742	8.314 sec	TLP	Downstream	0x9	1
107	8744	8.314 sec	TLP	Upstream	0x12	1
108	8748	8.314 sec	TLP	Downstream	0xA	1
109	8750	8.314 sec	TLP	Upstream	0x11	1
110	8753	8.314 sec	TLP	Downstream	0xA	1
111	8755	8.314 sec	TLP	Upstream	0x11	1
112	8758	8.314 sec	TLP	Downstream	0xA	1
113	8760	8.314 sec	TLP	Upstream	0x11	1
114	8763	8.314 sec	TLP	Downstream	0xA	1
115	8765	8.314 sec	TLP	Upstream	0x11	1
116	9915	8.314 sec	TLP	Downstream	0xA	1
117	9918	8.314 sec	TLP	Upstream	0x11	1
118	10354	8.314 sec	TLP	Downstream	0xA	1
119	10358	8.314 sec	TLP	Upstream	0x11	1
120	13807	8.317 sec	TLP	Upstream	0x12	1
121	13810	8.317 sec	TLP	Upstream	0x12	1
122	13815	8.317 sec	TLP	Upstream	0x12	1
123	13822	8.317 sec	TLP	Upstream	0x12	1
124	15518	8.331 sec	TLP	Upstream	0x12	1
125	15523	8.331 sec	TLP	Upstream	0x12	1
126	46820	8.346 sec	TLP	Downstream	0x1	1
127	46824	8.346 sec	TLP	Upstream	0x12	1
128	48563	8.347 sec	TLP	Upstream	0x12	1
129	51957	8.350 sec	TLP	Upstream	0x12	1
130	52245	8.350 sec	TLP	Upstream	0x12	1
131	52514	8.350 sec	TLP	Upstream	0x12	1
132	52525	8.350 sec	TLP	Upstream	0x12	1
133	52532	8.350 sec	TLP	Upstream	0x12	1
134	52535	8.350 sec	TLP	Upstream	0x12	1
135	52540	8.350 sec	TLP	Upstream	0x12	1
136	52545	8.350 sec	TLP	Upstream	0x12	1
137	52550	8.350 sec	TLP	Upstream	0x12	1
138	52555	8.350 sec	TLP	Upstream	0x12	1
139	52560	8.350 sec	TLP	Upstream	0x12	1
140	52565	8.350 sec	TLP	Upstream	0x12	1
141	52570	8.350 sec	TLP	Upstream	0x12	1
142	52575	8.350 sec	TLP	Upstream	0x12	1
143	52580	8.350 sec	TLP	Upstream	0x12	1
144	52585	8.350 sec	TLP	Upstream	0x12	1
145	52590	8.350 sec	TLP	Upstream	0x12	1
146	52593	8.350 sec	TLP	Upstream	0x12	1
147	52598	8.350 sec	TLP	Upstream	0x12	1
148	52601	8.350 sec	TLP	Upstream	0x12	1
149	52606	8.350 sec	TLP	Upstream	0x12	1
150	54285	8.351 sec	TLP	Upstream	0x12	1
151	54338	8.353 sec	TLP	Upstream	0x11	1
152	54621	8.353 sec	TLP	Upstream	0x12	1
153	54905	8.353 sec	TLP	Upstream	0x11	1
154	54909	8.353 sec	TLP	Upstream	0x12	1
155	54916	8.353 sec	TLP	Upstream	0x12	1
156	54925	8.353 sec	TLP	Upstream	0x12	1
157	54930	8.353 sec	TLP	Upstream	0x12	1
158	54937	8.353 sec	TLP	Upstream	0x12	1
159	54944	8.353 sec	TLP	Upstream	0x12	1
160	54949	8.353 sec	TLP	Upstream	0x12	1
161	54956	8.353 sec	TLP	Upstream	0x12	1
