
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|3129| 8.277 sec|TLP|Upstream|0xD|1
PCIE_G1B_TLP|60101| 8.377 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|60103| 8.377 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|60105| 8.377 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|60108| 8.377 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|60112| 8.377 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|60114| 8.377 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|60116| 8.377 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|60120| 8.377 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|60122| 8.377 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|60124| 8.377 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|62370| 8.392 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|62372| 8.392 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|62376| 8.392 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|62378| 8.392 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|62380| 8.392 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|62383| 8.392 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|62386| 8.392 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|64716| 8.408 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|64719| 8.408 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|64722| 8.408 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|64724| 8.408 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|64726| 8.408 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|64729| 8.408 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67003| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67006| 8.424 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|67009| 8.424 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|67011| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67013| 8.424 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|67017| 8.424 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|67019| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67021| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67024| 8.424 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|67028| 8.424 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|67030| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|67032| 8.424 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|67036| 8.424 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|67038| 8.424 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|71571| 8.455 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|71574| 8.455 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|71576| 8.455 sec|TLP|Downstream|0x1|1
