row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
71	8644	8.314 sec	Upstream	0x11	15	0	256	0
72	8648	8.314 sec	Downstream	0xA	0	0	NA	NA
73	8650	8.314 sec	Upstream	0x11	0	0	256	0
74	8653	8.314 sec	Downstream	0xA	4	0	NA	NA
75	8655	8.314 sec	Upstream	0x11	4	0	256	0
76	8658	8.314 sec	Downstream	0xA	10	0	NA	NA
77	8660	8.314 sec	Upstream	0x11	10	0	256	0
78	8665	8.314 sec	Downstream	0xA	1	0	NA	NA
79	8667	8.314 sec	Upstream	0x11	1	0	256	0
80	8671	8.314 sec	Downstream	0xA	6	0	NA	NA
81	8673	8.314 sec	Upstream	0x11	6	0	256	0
82	8676	8.314 sec	Downstream	0x9	12	0	NA	NA
83	8678	8.314 sec	Upstream	0x12	12	0	256	0
84	8681	8.314 sec	Downstream	0x9	2	0	NA	NA
85	8683	8.314 sec	Upstream	0x12	2	0	256	0
86	8686	8.314 sec	Downstream	0xA	8	0	NA	NA
87	8688	8.314 sec	Upstream	0x11	8	0	256	0
88	8691	8.314 sec	Downstream	0xA	14	0	NA	NA
89	8693	8.314 sec	Upstream	0x11	14	0	256	0
90	8696	8.314 sec	Downstream	0xA	0	0	NA	NA
91	8698	8.314 sec	Upstream	0x11	0	0	256	0
92	8702	8.314 sec	Downstream	0x9	5	0	NA	NA
93	8704	8.314 sec	Upstream	0x12	5	0	256	0
94	8709	8.314 sec	Downstream	0xA	11	0	NA	NA
95	8711	8.314 sec	Upstream	0x11	11	0	256	0
96	8714	8.314 sec	Downstream	0xA	1	0	NA	NA
97	8716	8.314 sec	Upstream	0x11	1	0	256	0
98	8719	8.314 sec	Downstream	0x9	7	0	NA	NA
99	8721	8.314 sec	Upstream	0x12	7	0	256	0
100	8725	8.314 sec	Downstream	0xA	13	0	NA	NA
101	8727	8.314 sec	Upstream	0x11	13	0	256	0
102	8730	8.314 sec	Downstream	0x9	3	0	NA	NA
103	8732	8.314 sec	Upstream	0x12	3	0	256	0
104	8737	8.314 sec	Downstream	0xA	9	0	NA	NA
105	8739	8.314 sec	Upstream	0x11	9	0	256	0
106	8742	8.314 sec	Downstream	0x9	15	0	NA	NA
107	8744	8.314 sec	Upstream	0x12	15	0	256	0
108	8748	8.314 sec	Downstream	0xA	0	0	NA	NA
109	8750	8.314 sec	Upstream	0x11	0	0	256	0
110	8753	8.314 sec	Downstream	0xA	4	0	NA	NA
111	8755	8.314 sec	Upstream	0x11	4	0	256	0
112	8758	8.314 sec	Downstream	0xA	10	0	NA	NA
113	8760	8.314 sec	Upstream	0x11	10	0	256	0
114	8763	8.314 sec	Downstream	0xA	1	0	NA	NA
115	8765	8.314 sec	Upstream	0x11	1	0	256	0
116	9915	8.314 sec	Downstream	0xA	6	0	NA	NA
117	9918	8.314 sec	Upstream	0x11	6	0	256	0
118	10354	8.314 sec	Downstream	0xA	12	0	NA	NA
119	10358	8.314 sec	Upstream	0x11	12	0	256	0
120	13807	8.317 sec	Upstream	0x12	2	0	256	0
121	13810	8.317 sec	Upstream	0x12	8	0	256	0
122	13815	8.317 sec	Upstream	0x12	14	0	256	0
123	13822	8.317 sec	Upstream	0x12	0	0	256	0
124	15518	8.331 sec	Upstream	0x12	5	0	256	0
125	15523	8.331 sec	Upstream	0x12	11	0	256	0
126	46820	8.346 sec	Downstream	0x1	1	0	NA	NA
127	46824	8.346 sec	Upstream	0x12	1	0	256	0
128	48563	8.347 sec	Upstream	0x12	7	0	256	0
129	51957	8.350 sec	Upstream	0x12	13	0	256	0
130	52245	8.350 sec	Upstream	0x12	9	0	256	0
131	52514	8.350 sec	Upstream	0x12	15	0	256	0
132	52525	8.350 sec	Upstream	0x12	0	0	256	0
133	52532	8.350 sec	Upstream	0x12	4	0	256	0
134	52535	8.350 sec	Upstream	0x12	10	0	256	0
135	52540	8.350 sec	Upstream	0x12	1	0	256	0
136	52545	8.350 sec	Upstream	0x12	6	0	256	0
137	52550	8.350 sec	Upstream	0x12	12	0	256	0
138	52555	8.350 sec	Upstream	0x12	2	0	256	0
139	52560	8.350 sec	Upstream	0x12	8	0	256	0
140	52565	8.350 sec	Upstream	0x12	14	0	256	0
141	52570	8.350 sec	Upstream	0x12	0	0	256	0
142	52575	8.350 sec	Upstream	0x12	5	0	256	0
143	52580	8.350 sec	Upstream	0x12	11	0	256	0
144	52585	8.350 sec	Upstream	0x12	1	0	256	0
145	52590	8.350 sec	Upstream	0x12	7	0	256	0
146	52593	8.350 sec	Upstream	0x12	13	0	256	0
147	52598	8.350 sec	Upstream	0x12	3	0	256	0
