row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
418	2096168	5.895 sec	Upstream	0x12	8	0	256	0
419	2096171	5.895 sec	Downstream	0x9	14	0	NA	NA
420	2096173	5.895 sec	Upstream	0x12	14	0	256	0
421	2096189	5.895 sec	Downstream	0xA	0	0	NA	NA
422	2096191	5.895 sec	Upstream	0x11	0	0	256	0
423	2096194	5.895 sec	Downstream	0xA	5	0	NA	NA
424	2096196	5.895 sec	Upstream	0x11	5	0	256	0
425	2096199	5.895 sec	Downstream	0xA	11	0	NA	NA
426	2096201	5.895 sec	Upstream	0x11	11	0	256	0
427	2096664	5.895 sec	Downstream	0xA	1	0	NA	NA
428	2096667	5.895 sec	Upstream	0x11	1	0	256	0
429	2096671	5.895 sec	Downstream	0xA	7	0	NA	NA
430	2096673	5.895 sec	Upstream	0x11	7	0	256	0
431	2096798	5.896 sec	Downstream	0x9	13	0	NA	NA
432	2096800	5.896 sec	Upstream	0x12	13	0	256	0
433	2096806	5.896 sec	Downstream	0x9	3	0	NA	NA
434	2096808	5.896 sec	Upstream	0x12	3	0	256	0
435	2096811	5.896 sec	Downstream	0x9	9	0	NA	NA
436	2096813	5.896 sec	Upstream	0x12	9	0	256	0
437	2096816	5.896 sec	Downstream	0x9	15	0	NA	NA
438	2096818	5.896 sec	Upstream	0x12	15	0	256	0
439	2096821	5.896 sec	Downstream	0x9	0	0	NA	NA
440	2096823	5.896 sec	Upstream	0x12	0	0	256	0
441	2096827	5.896 sec	Downstream	0x9	4	0	NA	NA
